\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2025-01-27 08:02:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2024-01-01,1,82,126,58,0,0,19,0,100,110,0,57,58,0,1207,1048,9,1230,1215,0,0,171,0,0,2,0,0,0,0,9,8,0,0,0,0,0,1,0,0,71,0,0,0,91,2729,2761
2024-01-01,2,82,134,54,0,0,19,0,150,165,0,57,55,0,1000,1019,9,1238,1222,0,0,171,0,0,2,0,0,0,0,9,2,0,0,0,0,0,1,0,0,70,0,0,0,91,2588,2780
2024-01-01,3,82,96,32,0,0,18,0,85,238,0,62,61,0,1146,967,9,1239,1222,0,0,170,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,70,0,0,0,91,2637,2781
2024-01-01,4,82,118,47,0,0,18,0,60,243,0,57,57,0,900,751,9,1238,1221,0,0,171,0,0,2,0,0,0,0,9,1,0,0,0,0,0,1,0,0,70,0,0,0,91,2382,2582
2024-01-01,5,82,125,58,0,0,18,0,0,227,0,57,54,0,975,791,9,1238,1220,0,0,172,0,0,2,0,0,0,0,9,1,0,0,0,0,0,1,0,0,70,0,0,0,91,2404,2614
2024-01-01,6,82,145,62,0,0,18,0,140,340,0,62,62,0,1067,819,9,1238,1223,0,0,173,0,0,2,0,0,0,0,9,2,0,0,0,0,0,1,0,0,70,0,0,0,91,2661,2772
2024-01-01,7,0,51,57,0,0,18,0,185,365,0,57,57,0,985,802,9,1238,1222,0,0,173,0,0,2,0,0,0,0,9,7,0,0,0,0,0,1,0,0,91,0,0,0,9,2525,2795
2024-01-01,8,0,51,57,0,0,19,0,665,860,0,61,61,0,1140,913,9,1238,1222,0,0,172,0,0,2,0,0,0,0,9,8,0,0,0,0,0,1,0,0,92,0,0,0,9,3164,3407
2024-01-01,9,0,51,62,0,0,19,0,625,824,0,75,71,0,1100,939,9,1238,1222,0,0,170,0,0,2,0,0,0,0,9,5,0,0,0,0,0,1,0,0,92,0,0,0,9,3098,3407
